,Timestamp,Verified Water Level
0,2021/10/19 00:00,2.29
1,2021/10/19 00:06,2.3
2,2021/10/19 00:12,2.28
3,2021/10/19 00:18,2.29
4,2021/10/19 00:24,2.32
5,2021/10/19 00:30,2.26
6,2021/10/19 00:36,2.26
7,2021/10/19 00:42,2.22
8,2021/10/19 00:48,2.21
9,2021/10/19 00:54,2.19
10,2021/10/19 01:00,2.15
11,2021/10/19 01:06,2.11
12,2021/10/19 01:12,2.05
13,2021/10/19 01:18,2.01
14,2021/10/19 01:24,1.95
15,2021/10/19 01:30,1.89
16,2021/10/19 01:36,1.81
17,2021/10/19 01:42,1.74
18,2021/10/19 01:48,1.65
19,2021/10/19 01:54,1.55
20,2021/10/19 02:00,1.48
21,2021/10/19 02:06,1.39
22,2021/10/19 02:12,1.26
23,2021/10/19 02:18,1.17
24,2021/10/19 02:24,1.08
25,2021/10/19 02:30,1.0
26,2021/10/19 02:36,0.88
27,2021/10/19 02:42,0.79
28,2021/10/19 02:48,0.64
29,2021/10/19 02:54,0.51
30,2021/10/19 03:00,0.4
31,2021/10/19 03:06,0.3
32,2021/10/19 03:12,0.23
33,2021/10/19 03:18,0.15
34,2021/10/19 03:24,0.08
35,2021/10/19 03:30,0.03
36,2021/10/19 03:36,-0.03
37,2021/10/19 03:42,-0.1
38,2021/10/19 03:48,-0.21
39,2021/10/19 03:54,-0.31
40,2021/10/19 04:00,-0.4
41,2021/10/19 04:06,-0.52
42,2021/10/19 04:12,-0.65
43,2021/10/19 04:18,-0.8
44,2021/10/19 04:24,-0.9
45,2021/10/19 04:30,-0.98
46,2021/10/19 04:36,-1.03
47,2021/10/19 04:42,-1.13
48,2021/10/19 04:48,-1.21
49,2021/10/19 04:54,-1.3
50,2021/10/19 05:00,-1.37
51,2021/10/19 05:06,-1.4
52,2021/10/19 05:12,-1.46
53,2021/10/19 05:18,-1.56
54,2021/10/19 05:24,-1.62
55,2021/10/19 05:30,-1.68
56,2021/10/19 05:36,-1.72
57,2021/10/19 05:42,-1.75
58,2021/10/19 05:48,-1.79
59,2021/10/19 05:54,-1.83
60,2021/10/19 06:00,-1.82
61,2021/10/19 06:06,-1.83
62,2021/10/19 06:12,-1.81
63,2021/10/19 06:18,-1.81
64,2021/10/19 06:24,-1.79
65,2021/10/19 06:30,-1.76
66,2021/10/19 06:36,-1.75
67,2021/10/19 06:42,-1.71
68,2021/10/19 06:48,-1.7
69,2021/10/19 06:54,-1.63
70,2021/10/19 07:00,-1.59
71,2021/10/19 07:06,-1.53
72,2021/10/19 07:12,-1.49
73,2021/10/19 07:18,-1.42
74,2021/10/19 07:24,-1.39
75,2021/10/19 07:30,-1.34
76,2021/10/19 07:36,-1.26
77,2021/10/19 07:42,-1.21
78,2021/10/19 07:48,-1.15
79,2021/10/19 07:54,-1.11
80,2021/10/19 08:00,-1.06
81,2021/10/19 08:06,-1.0
82,2021/10/19 08:12,-0.9
83,2021/10/19 08:18,-0.82
84,2021/10/19 08:24,-0.73
85,2021/10/19 08:30,-0.64
86,2021/10/19 08:36,-0.54
87,2021/10/19 08:42,-0.44
88,2021/10/19 08:48,-0.32
89,2021/10/19 08:54,-0.23
90,2021/10/19 09:00,-0.12
91,2021/10/19 09:06,0.02
92,2021/10/19 09:12,0.13
93,2021/10/19 09:18,0.26
94,2021/10/19 09:24,0.37
95,2021/10/19 09:30,0.49
96,2021/10/19 09:36,0.63
97,2021/10/19 09:42,0.76
98,2021/10/19 09:48,0.85
99,2021/10/19 09:54,1.0
100,2021/10/19 10:00,1.09
101,2021/10/19 10:06,1.21
102,2021/10/19 10:12,1.3
103,2021/10/19 10:18,1.37
104,2021/10/19 10:24,1.42
105,2021/10/19 10:30,1.49
106,2021/10/19 10:36,1.58
107,2021/10/19 10:42,1.63
108,2021/10/19 10:48,1.72
109,2021/10/19 10:54,1.79
110,2021/10/19 11:00,1.86
111,2021/10/19 11:06,1.92
112,2021/10/19 11:12,1.99
113,2021/10/19 11:18,2.04
114,2021/10/19 11:24,2.07
115,2021/10/19 11:30,2.11
116,2021/10/19 11:36,2.14
